latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
35.35196,139.87604,306.99,1.02,1.01,2025-11-30,00:15,T,0,6.1NRT,287.07,9.07,D
35.03059,136.88258,305.44,1.07,1.03,2025-11-30,00:15,T,40,6.1NRT,286.15,7.55,D
35.023,136.86957,310.31,1.07,1.03,2025-11-30,00:15,T,0,6.1NRT,286.04,10.62,D
34.59925,135.45479,301.38,1.2,1.09,2025-11-30,00:15,T,0,6.1NRT,285.44,7.29,D
33.25944,131.6441,302.39,1.95,1.36,2025-11-30,00:17,T,0,6.1NRT,287.5,16.04,D
0.4834,127.9996,319.86,1.24,1.11,2025-11-30,00:24,T,39,6.1NRT,295.78,14.51,D
0.48494,127.98876,321.94,1.24,1.11,2025-11-30,00:24,T,53,6.1NRT,296.26,17.13,D
-11.44939,130.50452,316.27,1.13,1.06,2025-11-30,00:26,T,66,6.1NRT,275.2,13.53,D
-11.44803,130.49438,319.73,1.13,1.06,2025-11-30,00:26,T,72,6.1NRT,276.67,17.23,D
-16.70147,126.99397,334.6,1,1,2025-11-30,00:28,T,61,6.1NRT,292.84,23.88,D
-16.7028,127.00312,356.48,1,1,2025-11-30,00:28,T,98,6.1NRT,294.98,66.01,D
-16.71162,127.00178,334.23,1,1,2025-11-30,00:28,T,76,6.1NRT,296.17,23.28,D
-16.72176,127.00957,326.62,1,1,2025-11-30,00:28,T,74,6.1NRT,296.51,14.11,D
-16.9166,125.76212,318.8,1.05,1.02,2025-11-30,00:28,T,45,6.1NRT,297.4,6.22,D
-17.04534,125.88235,340.48,1.04,1.02,2025-11-30,00:28,T,88,6.1NRT,302.57,31.79,D
-17.04675,125.89186,353.68,1.04,1.02,2025-11-30,00:28,T,96,6.1NRT,301.73,59.95,D
-17.06266,125.87302,324.86,1.04,1.02,2025-11-30,00:28,T,40,6.1NRT,302.75,9.9,D
-16.03649,126.92387,311.13,1,1,2025-11-30,00:28,T,44,6.1NRT,288.51,4.41,D
-16.04132,126.89507,326.35,1.01,1,2025-11-30,00:28,T,80,6.1NRT,292.26,18.18,D
-16.68515,127.00579,327.54,1,1,2025-11-30,00:28,T,64,6.1NRT,289.98,17.57,D
-16.69397,127.00446,367.42,1,1,2025-11-30,00:28,T,100,6.1NRT,292.21,99,D
-17.30708,122.56759,348,1.54,1.22,2025-11-30,00:30,T,94,6.1NRT,289.92,92.48,D
-17.30942,122.58167,324.97,1.54,1.22,2025-11-30,00:30,T,75,6.1NRT,290.16,23.78,D
-17.40011,122.70274,316.74,1.5,1.21,2025-11-30,00:30,T,56,6.1NRT,285.77,13.03,D
-18.30757,129.78044,325.81,1.23,1.1,2025-11-30,00:30,T,74,6.1NRT,299.25,15.74,D
-17.40242,122.71652,318.93,1.5,1.21,2025-11-30,00:30,T,64,6.1NRT,286.54,17.02,D
-18.3173,129.7791,325.49,1.23,1.1,2025-11-30,00:30,T,72,6.1NRT,298.93,15.7,D
-33.90484,115.53148,310.16,2.13,1.42,2025-11-30,00:34,T,53,6.1NRT,295.6,21.26,D
-33.90022,115.50925,307.54,2.14,1.42,2025-11-30,00:34,T,35,6.1NRT,295.54,15.48,D
59.47021,47.78412,302.36,1.01,1.01,2025-11-30,00:54,A,49,6.1NRT,271.6,10.98,N
40.97676,44.26754,302.25,1.62,1.25,2025-11-30,00:58,A,48,6.1NRT,272.95,19.87,N
40.85753,40.45102,313.19,1.09,1.04,2025-11-30,00:58,A,87,6.1NRT,286.78,16.77,N
35.6869,43.88936,314.88,2.08,1.4,2025-11-30,01:00,A,90,6.1NRT,279.31,51.79,N
31.02561,47.31145,312.34,4.64,1.97,2025-11-30,01:00,A,85,6.1NRT,279.13,134.68,N
31.02255,47.30613,305.41,4.64,1.97,2025-11-30,01:00,A,64,6.1NRT,278.75,92.79,N
34.89444,43.81705,300.66,2.15,1.43,2025-11-30,01:00,A,32,6.1NRT,266.09,27.79,N
-23.62977,-58.75778,326.37,1.12,1.06,2025-11-30,01:06,T,100,6.1NRT,294.07,27.67,N
-23.52445,-59.35983,326.45,1.2,1.09,2025-11-30,01:06,T,100,6.1NRT,294.83,28.36,N
-23.52582,-59.37139,341.18,1.2,1.09,2025-11-30,01:06,T,100,6.1NRT,295.98,55.78,N
-23.52229,-59.36648,334.27,1.2,1.09,2025-11-30,01:06,T,100,6.1NRT,295.44,41.96,N
-23.52371,-59.37804,316.31,1.2,1.09,2025-11-30,01:06,T,92,6.1NRT,295.04,15.27,N
-23.32111,-59.22169,307.44,1.17,1.08,2025-11-30,01:06,T,66,6.1NRT,296,6.35,N
-23.6284,-58.74694,306.83,1.12,1.06,2025-11-30,01:06,T,67,6.1NRT,293.67,6.94,N
-26.15132,-60.11663,303.16,1.42,1.18,2025-11-30,01:06,T,54,6.1NRT,285.03,6.31,N
13.31846,33.60931,305.27,1.21,1.09,2025-11-30,01:06,A,64,6.1NRT,294.47,7.84,N
12.76608,30.00959,350.96,1.02,1.01,2025-11-30,01:06,A,100,6.1NRT,297.03,64.82,N
12.76475,30.01863,366.77,1.02,1.01,2025-11-30,01:06,A,100,6.1NRT,300.6,107.27,N
10.28162,27.84657,305.26,1.16,1.07,2025-11-30,01:06,A,64,6.1NRT,291.6,7.75,N
9.69032,29.0472,311.29,1.03,1.01,2025-11-30,01:06,A,82,6.1NRT,290.75,11.28,N
9.65376,23.71753,308.98,2.24,1.45,2025-11-30,01:06,A,76,6.1NRT,293.27,26.04,N
9.65451,23.71015,306.12,2.24,1.45,2025-11-30,01:06,A,67,6.1NRT,292.73,20.97,N
8.46981,27.60692,301.78,1.14,1.07,2025-11-30,01:06,A,44,6.1NRT,290.85,5.73,N
8.67818,24.62659,301.05,1.83,1.32,2025-11-30,01:06,A,37,6.1NRT,287.56,12.6,N
8.67608,24.64185,304.67,1.82,1.32,2025-11-30,01:06,A,61,6.1NRT,289.03,17.35,N
8.33546,26.4953,300.94,1.32,1.14,2025-11-30,01:06,A,36,6.1NRT,286.91,7.28,N
8.33381,26.50681,302.71,1.32,1.14,2025-11-30,01:06,A,51,6.1NRT,286.5,8.76,N
7.75007,29.40293,322.82,1,1,2025-11-30,01:06,A,95,6.1NRT,289.31,22.02,N
7.74132,29.40163,315.33,1,1,2025-11-30,01:06,A,69,6.1NRT,288.76,14.89,N
8.16987,26.21954,309.82,1.37,1.16,2025-11-30,01:06,A,78,6.1NRT,287.43,16.4,N
8.16817,26.23154,306.85,1.37,1.16,2025-11-30,01:06,A,69,6.1NRT,287.77,13.06,N
8.15133,26.27778,301.22,1.36,1.15,2025-11-30,01:06,A,38,6.1NRT,287.43,7.38,N
8.14966,26.28958,301.81,1.35,1.15,2025-11-30,01:06,A,44,6.1NRT,286.66,8.11,N
-29.369,-60.83926,311.71,1.75,1.3,2025-11-30,01:06,T,83,6.1NRT,288.33,21.52,N
-25.5907,-56.81577,308.68,1.02,1.01,2025-11-30,01:06,T,71,6.1NRT,295.15,6.77,N
-25.59202,-56.82574,311,1.02,1.01,2025-11-30,01:06,T,79,6.1NRT,294.44,8.54,N
-24.99826,-62.88138,314.05,2.13,1.42,2025-11-30,01:06,T,88,6.1NRT,290.11,24.86,N
-23.64171,-52.94798,306,1.3,1.13,2025-11-30,01:06,T,66,6.1NRT,294.46,8.23,N
-23.62967,-52.93752,327.68,1.3,1.13,2025-11-30,01:06,T,100,6.1NRT,295.78,35.98,N
-23.63172,-52.94992,365.83,1.3,1.13,2025-11-30,01:06,T,100,6.1NRT,298.93,149.03,N
-23.63106,-52.94302,356.89,1.3,1.13,2025-11-30,01:06,T,100,6.1NRT,298.56,113.08,N
-23.63304,-52.95542,332.52,1.3,1.13,2025-11-30,01:06,T,100,6.1NRT,296.5,44.84,N
-23.62303,-52.95725,310.62,1.3,1.13,2025-11-30,01:06,T,80,6.1NRT,295.34,12.93,N
-22.49015,-46.92591,309.27,3.62,1.78,2025-11-30,01:06,T,77,6.1NRT,291.89,57.32,N
-22.49701,-46.95964,302.56,3.6,1.78,2025-11-30,01:06,T,50,6.1NRT,291.21,30.26,N
-23.79118,-59.12862,322.84,1.17,1.08,2025-11-30,01:06,T,100,6.1NRT,287.02,23.86,N
-23.79255,-59.13996,309.32,1.18,1.08,2025-11-30,01:06,T,74,6.1NRT,287.58,9.3,N
